"Something went wrong, Please contact us if the issue persists","Something went wrong, Please contact us if the issue persists"
"Message Sent","Message Sent"
"Will get back to you as soon as possible","Will get back to you as soon as possible"
"Something went wrong","Something went wrong"
"Message has not been sent. Please contact us if the issue persists.","Message has not been sent. Please contact us if the issue persists."
"Your Message","Your Message"
"Close","Close"
"Send","Send",
"Open Chat","Open Chat"
"Refresh Event on Chat","Refresh Event on Chat"
"How may I help you?","How may I help you?"